curriculum_order,tier,name,n_tokens,difficulty,combined_research,compression_ratio,lexical_diversity_mtld,flesch_reading_ease,compression_ratio_norm,lexical_diversity_norm,flesch_difficulty_norm,familiarity_norm,complexity_norm,avg_rarity,fragmentation,rare_ratio,struct_avg_sentence_length,struct_clause_density,struct_max_sentence_length,struct_n_sentences,struct_sentence_cv,struct_subordination
,,Basho - Narrow Road to the Deep North,,,0.4566,4.1897,73.9135,72.4511,0.6013,0.3857,0.2382,,,,,,,,,,,
141,4,1001 Nights (selected),350803,0.2049,0.4580,4.0946,61.1085,61.5212,0.5631,0.2825,0.4230,0.1385,0.2545,0.0714,1.3661,0.0099,34.6917,0.8483,313,7402,0.9387,0.1568
167,4,Juvenal - Satires,376837,0.3056,0.4605,3.5644,145.5090,76.0152,0.3508,0.9624,0.1780,0.4055,0.1495,0.0996,1.7141,0.0170,16.3953,0.2711,172,13381,1.0720,0.1087
95,3,Laozi - Tao Te Ching,17416,0.1416,0.4617,4.4373,50.7500,71.9406,0.7004,0.1991,0.2469,0.0903,0.1787,0.0706,1.2850,0.0136,14.5252,0.3001,102,933,0.9995,0.6924
146,4,Bhagavad Gita,34185,0.2225,0.4623,4.0072,92.7498,71.4245,0.5282,0.5374,0.2556,0.2794,0.1449,0.0902,1.5372,0.0153,17.8321,0.4088,230,1245,1.0201,0.0402
170,4,Elias Lönnrot (compiled) - Kalevala,194365,0.3212,0.4643,3.9821,55.1161,51.8268,0.5181,0.2343,0.5869,0.2766,0.3603,0.1063,1.4914,0.0161,46.6432,1.0344,433,2794,1.0696,0.0465
131,3,Isaac Newton - Opticks,140656,0.1844,0.4644,4.1077,46.3465,53.5822,0.5684,0.1636,0.5572,0.1663,0.2008,0.0877,1.3654,0.0129,36.8954,0.3234,347,2792,0.8630,0.1297
112,3,Emily Dickinson - Complete Poems,47140,0.1632,0.4657,3.9876,107.3106,76.6366,0.5203,0.6547,0.1675,0.2094,0.0971,0.0918,1.4237,0.0133,13.9515,0.2381,112,2373,0.9804,0.0169
9,1,Willa Cather - My Ántonia,108514,0.0814,0.4660,4.0660,102.5916,78.0201,0.5517,0.6167,0.1441,0.1149,0.0055,0.0718,1.3299,0.0080,17.6184,0.1425,123,4631,0.6261,0.0510
48,2,Fyodor Dostoevsky - Demons (The Possessed),352288,0.1057,0.4664,4.1228,82.8532,71.2283,0.5745,0.4577,0.2589,0.1354,0.0635,0.0675,1.3739,0.0078,18.3775,0.1286,224,13952,0.8120,0.0393
22,1,Fyodor Dostoevsky - Notes from Underground,60721,0.0900,0.4666,4.2554,67.9098,70.3346,0.6276,0.3373,0.2740,0.0771,0.1013,0.0628,1.2920,0.0078,18.8908,0.2345,185,2482,0.8685,0.1378
,,Charles Kingsley - The Water-Babies,,,0.4671,4.1460,73.7679,67.8159,0.5837,0.3845,0.3166,,,,,,,,,,,
23,1,Leo Tolstoy - Anna Karenina,472604,0.0909,0.4676,4.2004,75.3264,71.0229,0.6055,0.3971,0.2624,0.1083,0.0692,0.0640,1.3402,0.0071,20.4935,0.1800,205,17198,0.7686,0.0757
124,3,Virginia Woolf - Mrs Dalloway,91717,0.1777,0.4700,4.1302,83.9042,71.2298,0.5774,0.4662,0.2589,0.1497,0.2019,0.0736,1.3815,0.0080,17.8513,0.4075,196,3718,1.1668,0.1657
168,4,Walt Whitman - Leaves of Grass (1855 edition),181192,0.3109,0.4715,4.1561,54.1910,57.9381,0.5878,0.2268,0.4836,0.2193,0.3811,0.0861,1.4573,0.0111,32.9960,0.1237,1059,3768,1.5326,0.2633
122,3,Florence Ayscough - Fir-Flower Tablets,33117,0.1740,0.4715,4.2376,82.8793,75.4650,0.6204,0.4579,0.1873,0.2460,0.0067,0.1008,1.4536,0.0178,15.3989,0.1149,102,1479,0.6761,0.0500
66,2,Joseph Conrad - Heart of Darkness,55026,0.1178,0.4772,4.1714,86.8273,72.8694,0.5939,0.4897,0.2312,0.1316,0.1021,0.0750,1.3482,0.0084,17.0401,0.3737,102,2395,0.8181,0.2902
118,3,Charlotte Brontë - Jane Eyre,255739,0.1702,0.4781,4.0864,95.1368,72.5820,0.5599,0.5566,0.2360,0.1288,0.2033,0.0690,1.3582,0.0087,23.9959,1.0616,234,7847,0.8548,0.3025
28,1,Fyodor Dostoevsky - The Idiot,326075,0.0925,0.4791,4.2050,84.8078,73.0340,0.6074,0.4734,0.2284,0.0976,0.0870,0.0596,1.3340,0.0071,18.4768,0.3873,135,13229,0.7620,0.2231
55,2,R.L. Stevenson - Strange Case of Dr Jekyll and Mr Hyde,37616,0.1103,0.4799,4.1762,81.0645,69.7058,0.5958,0.4433,0.2846,0.1022,0.1179,0.0677,1.3205,0.0074,22.9710,0.5298,102,1240,0.7780,0.1379
157,4,D'Arcy Wentworth Thompson - On Growth and Form (1917),414012,0.2488,0.4832,3.9808,66.9882,52.9636,0.5176,0.3299,0.5676,0.2603,0.2366,0.0902,1.5086,0.0141,24.5986,0.3880,404,11155,1.0693,0.4630
37,1,Arthur Waley - More Translations from the Chinese,34000,0.1014,0.4839,4.2641,90.7644,77.5586,0.6311,0.5214,0.1519,0.1386,0.0368,0.0805,1.3408,0.0115,18.2872,0.3117,118,1386,0.6776,0.0447
60,2,Cao Xueqin - Dream of the Red Chamber (Vol. 2),361600,0.1160,0.4858,4.0406,108.8768,75.1413,0.5415,0.6673,0.1928,0.1364,0.0913,0.0677,1.3777,0.0059,23.4342,0.2388,478,11200,0.7847,0.0487
8,1,Frederick Douglass - Narrative of the Life of Frederick Douglass,49922,0.0803,0.4865,4.3254,68.7038,69.3179,0.6556,0.3437,0.2912,0.0760,0.0844,0.0688,1.2767,0.0068,19.0063,0.2703,217,2057,0.8089,0.1162
19,1,Jewett - The Country of the Pointed Firs,60378,0.0882,0.4874,4.0496,107.9292,74.7293,0.5452,0.6597,0.1997,0.1129,0.0532,0.0654,1.3454,0.0061,21.1181,0.2052,102,2125,0.7178,0.0179
